Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,4.9,10.9,0.7,0.0,9.5,1.7
1,2016-01-02,4.3,12.0,0.3,0.0,4.8,1.3
2,2016-01-03,6.4,16.2,-1.1,0.0,8.2,1.2
3,2016-01-04,6.8,15.3,0.6,0.0,9.2,1.2
4,2016-01-05,7.7,15.0,0.3,0.0,8.4,1.1
5,2016-01-06,6.7,10.0,3.2,0.0,0.0,1.0
6,2016-01-07,6.8,12.8,0.9,0.0,8.0,1.5
7,2016-01-08,4.5,10.5,-0.7,0.0,7.6,1.0
8,2016-01-09,4.3,10.7,-1.3,0.0,9.3,1.2
9,2016-01-10,5.6,12.7,0.6,0.0,9.3,1.6
10,2016-01-11,4.1,8.9,-1.6,0.0,1.9,1.1
11,2016-01-12,1.9,3.9,-2.0,0.0,0.0,1.3
12,2016-01-13,1.3,8.8,-4.9,0.0,8.3,0.9
13,2016-01-14,3.6,11.6,-3.4,0.0,9.5,1.3
14,2016-01-15,3.6,10.4,-1.7,0.0,8.6,1.6
15,2016-01-16,4.3,10.8,-1.0,0.0,9.5,1.4
16,2016-01-17,4.3,8.4,-1.7,1.0,4.6,1.3
17,2016-01-18,4.4,10.8,1.6,61.5,0.8,3.1
18,2016-01-19,4.8,8.9,-1.1,0.0,9.3,3.1
19,2016-01-20,2.5,6.9,-2.9,0.0,9.1,3.4
20,2016-01-21,3.5,8.6,-3.3,0.0,7.9,2.1
21,2016-01-22,3.6,9.5,-1.1,0.0,8.9,1.8
22,2016-01-23,1.8,4.5,-1.4,0.5,0.0,1.3
23,2016-01-24,2.0,7.1,-1.1,0.0,7.6,3.0
24,2016-01-25,1.5,6.7,-2.7,0.0,9.7,2.7
25,2016-01-26,1.4,9.2,-4.4,0.0,9.0,1.2
26,2016-01-27,3.7,12.7,-4.2,0.0,9.6,1.5
27,2016-01-28,4.5,13.1,-2.7,0.0,9.6,1.0
28,2016-01-29,3.4,7.1,1.1,8.5,0.0,1.8
29,2016-01-30,2.3,4.3,0.4,5.0,0.0,1.9
30,2016-01-31,4.7,10.6,-1.0,0.0,8.7,1.0
31,2016-02-01,2.7,5.1,0.3,0.0,0.0,1.2
32,2016-02-02,4.3,9.9,0.8,0.0,8.7,1.6
33,2016-02-03,2.1,8.0,-2.9,0.0,9.3,1.0
34,2016-02-04,2.8,9.1,-3.0,0.0,8.7,1.3
35,2016-02-05,4.5,11.8,-2.1,0.0,9.6,1.3
36,2016-02-06,5.0,7.8,2.0,0.0,1.7,1.8
37,2016-02-07,3.2,8.0,-0.9,0.0,9.0,1.7
38,2016-02-08,1.9,9.4,-3.0,0.0,5.1,1.3
39,2016-02-09,4.6,13.6,-3.1,0.0,8.6,2.2
40,2016-02-10,4.1,8.5,-0.4,0.0,10.3,3.9
41,2016-02-11,2.7,9.5,-3.4,0.0,10.2,1.0
42,2016-02-12,5.1,11.3,-2.7,0.0,3.1,1.2
43,2016-02-13,12.8,19.1,6.5,0.0,4.0,2.4
44,2016-02-14,17.3,21.3,12.6,12.0,4.5,4.7
45,2016-02-15,6.0,12.6,1.0,6.5,0.1,1.5
46,2016-02-16,3.0,9.4,-2.5,0.0,8.8,1.7
47,2016-02-17,4.0,11.1,-1.9,0.0,7.7,1.7
48,2016-02-18,2.9,10.1,-3.4,0.0,7.9,1.3
49,2016-02-19,7.6,16.0,-0.5,0.0,9.1,1.5
50,2016-02-20,6.9,9.6,3.8,27.0,0.7,1.4
51,2016-02-21,8.6,14.5,2.5,0.0,2.7,2.0
52,2016-02-22,4.8,8.7,1.0,3.5,1.5,1.6
53,2016-02-23,5.3,9.6,2.0,1.0,1.5,1.3
54,2016-02-24,3.9,6.2,0.8,0.0,0.9,1.7
55,2016-02-25,2.8,7.7,-0.8,0.0,8.7,1.4
56,2016-02-26,3.8,10.9,-2.1,0.0,10.8,1.5
57,2016-02-27,5.3,11.7,-1.5,0.0,9.2,1.8
58,2016-02-28,6.0,11.7,0.0,0.0,8.8,2.1
59,2016-02-29,6.7,14.3,2.7,1.5,1.4,1.7
60,2016-03-01,3.7,8.0,0.5,0.0,11.0,3.1
61,2016-03-02,4.3,11.4,-2.9,0.0,10.8,1.3
62,2016-03-03,7.0,16.4,-1.7,0.0,10.8,1.4
63,2016-03-04,7.1,13.4,0.8,0.0,10.1,1.8
64,2016-03-05,8.8,14.3,4.7,0.0,3.2,1.7
65,2016-03-06,12.5,17.9,7.6,2.0,2.2,2.3
66,2016-03-07,13.9,15.5,11.5,23.5,0.0,1.6
67,2016-03-08,14.2,20.9,10.2,0.0,4.6,1.1
68,2016-03-09,7.1,12.8,3.0,14.5,0.0,2.2
69,2016-03-10,4.9,7.3,2.6,0.5,0.0,2.0
70,2016-03-11,3.6,5.3,2.2,0.0,0.0,1.4
71,2016-03-12,4.6,7.7,0.6,0.0,1.1,1.8
72,2016-03-13,5.6,8.0,3.0,0.0,0.0,1.6
73,2016-03-14,4.9,6.9,3.4,31.0,0.0,2.1
74,2016-03-15,6.7,12.6,1.6,1.5,11.5,2.4
75,2016-03-16,6.7,13.9,-0.5,0.0,3.0,1.2
76,2016-03-17,10.8,20.5,2.6,0.0,11.4,1.3
77,2016-03-18,13.0,19.9,4.5,0.5,8.7,3.1
78,2016-03-19,14.0,16.8,11.7,14.5,0.0,1.6
79,2016-03-20,10.9,15.4,8.5,0.0,7.1,1.8
80,2016-03-21,8.1,12.0,5.3,0.0,5.0,1.8
81,2016-03-22,9.3,16.1,2.5,0.0,7.8,1.8
82,2016-03-23,8.9,15.0,4.9,0.0,0.8,2.0
83,2016-03-24,5.1,8.9,2.0,0.5,1.8,1.8
84,2016-03-25,5.6,11.5,-1.0,0.0,9.6,1.7
85,2016-03-26,6.0,11.4,1.7,0.0,4.7,1.5
86,2016-03-27,8.1,13.9,2.9,0.0,3.7,1.7
87,2016-03-28,9.9,14.7,6.7,0.0,1.6,1.5
88,2016-03-29,10.9,17.1,4.4,0.0,9.4,2.1
89,2016-03-30,13.3,18.6,7.9,0.0,4.6,2.1
90,2016-03-31,12.7,20.4,5.2,0.0,9.7,1.8
91,2016-04-01,11.1,15.9,8.4,0.0,5.6,2.5
92,2016-04-02,9.7,12.4,7.2,0.0,0.0,1.7
93,2016-04-03,13.1,18.2,8.8,0.5,0.1,2.1
94,2016-04-04,14.2,21.4,9.2,4.0,1.2,2.8
95,2016-04-05,9.7,11.7,7.0,1.0,0.0,1.3
96,2016-04-06,12.6,21.1,4.1,0.0,8.9,1.5
97,2016-04-07,12.1,12.9,11.1,32.0,0.0,1.5
98,2016-04-08,13.8,20.3,9.2,0.0,4.7,1.8
99,2016-04-09,15.7,22.7,8.2,0.0,7.2,2.1
100,2016-04-10,14.8,23.7,9.4,0.0,4.5,1.6
101,2016-04-11,10.1,16.2,4.6,0.0,5.6,2.3
102,2016-04-12,8.8,14.5,1.0,0.0,11.6,1.9
103,2016-04-13,14.0,20.7,10.3,0.0,1.0,1.8
104,2016-04-14,14.4,17.7,12.7,18.5,0.9,1.5
105,2016-04-15,14.6,19.5,6.9,0.0,11.7,3.0
106,2016-04-16,14.1,19.3,6.6,0.0,2.4,2.3
107,2016-04-17,18.2,20.9,15.5,3.0,1.8,5.7
108,2016-04-18,17.3,25.4,12.1,0.5,5.4,3.0
109,2016-04-19,14.7,22.3,8.9,4.0,9.9,1.8
110,2016-04-20,13.0,18.3,6.6,0.0,12.0,2.2
111,2016-04-21,15.7,20.7,11.6,5.0,0.1,2.7
112,2016-04-22,14.8,19.7,12.4,0.0,5.2,2.8
113,2016-04-23,17.0,23.1,12.1,0.0,2.8,1.6
114,2016-04-24,14.5,18.5,11.0,8.0,3.8,1.9
115,2016-04-25,16.4,22.1,12.2,0.0,6.3,1.8
116,2016-04-26,18.0,24.9,11.1,0.0,9.5,1.5
117,2016-04-27,15.2,19.0,12.8,0.0,1.9,2.3
118,2016-04-28,13.1,14.5,11.9,19.0,0.0,1.9
119,2016-04-29,14.6,18.6,10.0,0.0,11.8,3.8
120,2016-04-30,14.9,21.5,8.9,0.0,12.5,2.8
121,2016-05-01,16.3,25.4,9.5,0.0,9.9,1.7
122,2016-05-02,15.7,20.8,11.4,0.0,3.2,2.0
123,2016-05-03,20.0,25.6,15.6,0.0,6.9,3.3
124,2016-05-04,20.5,25.5,14.6,10.5,8.4,4.9
125,2016-05-05,20.2,27.2,14.5,0.0,12.8,1.7
126,2016-05-06,17.2,22.6,12.9,2.5,2.3,2.2
127,2016-05-07,19.9,23.9,15.8,0.0,11.2,3.5
128,2016-05-08,19.4,25.2,14.2,0.0,11.5,2.0
129,2016-05-09,17.7,21.7,15.2,12.0,0.1,2.2
130,2016-05-10,17.2,22.9,14.3,15.0,0.2,2.3
131,2016-05-11,20.2,24.7,14.3,4.0,1.2,4.7
132,2016-05-12,19.6,26.3,14.5,0.0,13.1,1.8
133,2016-05-13,20.0,26.8,13.7,0.0,11.8,1.6
134,2016-05-14,17.3,22.2,12.2,0.0,10.2,2.3
135,2016-05-15,15.7,21.1,11.7,0.0,11.1,2.1
136,2016-05-16,18.4,25.6,11.6,0.0,4.3,2.4
137,2016-05-17,17.3,20.1,13.0,23.5,0.0,1.9
138,2016-05-18,17.1,24.3,11.5,0.0,12.1,1.7
139,2016-05-19,17.1,22.8,11.0,0.0,11.2,2.1
140,2016-05-20,15.6,18.8,12.6,0.0,2.4,1.8
141,2016-05-21,16.8,23.6,10.1,0.0,10.7,1.7
142,2016-05-22,19.2,28.5,14.1,0.0,12.7,1.9
143,2016-05-23,21.4,30.5,12.7,0.0,12.6,1.5
144,2016-05-24,22.5,30.5,14.8,0.0,8.4,2.2
145,2016-05-25,21.7,24.5,19.9,0.0,1.0,3.7
146,2016-05-26,22.6,27.0,19.5,0.0,1.9,3.3
147,2016-05-27,18.1,21.6,14.0,26.0,0.1,2.1
148,2016-05-28,18.0,23.1,13.5,0.0,0.8,1.1
149,2016-05-29,21.0,28.5,13.8,0.0,9.8,1.6
150,2016-05-30,16.9,19.9,15.4,5.5,0.0,1.3
151,2016-05-31,20.1,26.4,15.3,0.0,5.0,1.9
152,2016-06-01,20.9,26.7,17.0,0.0,6.6,1.7
153,2016-06-02,18.9,24.8,13.2,0.0,11.6,1.8
154,2016-06-03,18.0,24.4,10.4,0.0,12.0,2.0
155,2016-06-04,20.8,26.4,14.8,0.0,8.5,3.5
156,2016-06-05,19.3,23.3,16.1,0.5,4.2,2.1
157,2016-06-06,18.4,22.0,16.1,0.0,2.2,2.0
158,2016-06-07,18.9,21.5,16.1,0.0,0.0,1.2
159,2016-06-08,21.0,24.7,17.4,0.0,1.7,1.7
160,2016-06-09,21.0,24.3,19.0,22.5,0.6,1.4
161,2016-06-10,23.0,28.2,18.7,0.0,12.3,1.7
162,2016-06-11,22.7,29.6,16.3,0.0,10.5,1.9
163,2016-06-12,22.8,27.7,18.7,0.0,6.5,2.1
164,2016-06-13,19.3,21.4,18.0,53.5,0.0,2.9
165,2016-06-14,20.5,24.7,16.2,0.0,9.0,2.4
166,2016-06-15,19.5,20.9,18.4,0.0,0.0,2.0
167,2016-06-16,21.1,23.6,18.7,2.0,0.0,1.9
168,2016-06-17,23.8,30.2,18.6,2.5,8.6,1.8
169,2016-06-18,24.9,31.7,19.1,0.0,13.2,1.5
170,2016-06-19,23.9,29.5,19.8,1.5,4.9,2.0
171,2016-06-20,23.9,29.2,20.0,0.5,6.7,1.6
172,2016-06-21,22.1,25.3,19.9,3.0,2.8,1.1
173,2016-06-22,21.3,23.2,19.8,1.0,0.0,1.6
174,2016-06-23,21.8,25.7,19.5,7.5,1.0,1.3
175,2016-06-24,21.6,24.2,19.3,1.0,0.3,1.6
176,2016-06-25,24.1,26.9,21.2,2.0,0.0,3.1
177,2016-06-26,24.3,30.0,20.4,0.0,7.4,1.7
178,2016-06-27,23.2,28.9,18.3,0.0,10.1,1.9
179,2016-06-28,18.5,21.2,16.3,17.5,0.0,1.1
180,2016-06-29,20.7,24.4,18.6,0.0,0.1,1.2
181,2016-06-30,22.6,26.6,19.9,0.0,0.9,1.3
182,2016-07-01,24.4,30.1,20.6,0.0,5.1,1.6
183,2016-07-02,25.6,30.5,21.7,0.0,6.6,2.2
184,2016-07-03,27.8,33.2,23.7,0.0,8.4,2.7
185,2016-07-04,26.3,32.4,22.4,0.0,8.6,1.7
186,2016-07-05,20.3,22.9,19.1,0.0,0.0,1.7
187,2016-07-06,22.2,27.3,18.9,0.0,3.4,1.6
188,2016-07-07,24.8,32.9,21.0,0.0,13.1,2.3
189,2016-07-08,24.4,29.6,20.2,0.0,3.0,1.5
190,2016-07-09,22.3,23.8,20.6,7.5,0.0,1.8
191,2016-07-10,25.2,32.0,19.1,0.0,12.2,1.6
192,2016-07-11,26.4,32.4,20.9,0.0,12.7,1.7
193,2016-07-12,25.5,29.9,22.7,0.0,7.2,2.0
194,2016-07-13,24.9,27.2,23.0,1.5,0.1,1.0
195,2016-07-14,24.9,31.9,20.5,25.0,3.1,1.6
196,2016-07-15,21.3,23.2,20.5,15.5,0.0,1.6
197,2016-07-16,22.5,26.4,18.2,0.0,1.3,1.5
198,2016-07-17,25.4,29.1,22.5,0.0,0.7,1.3
199,2016-07-18,26.8,31.7,23.9,0.0,8.8,1.8
200,2016-07-19,26.6,31.7,22.3,0.0,11.8,1.7
201,2016-07-20,24.8,28.9,21.8,61.5,6.4,2.0
202,2016-07-21,21.2,22.5,20.7,8.0,0.0,1.4
203,2016-07-22,21.1,23.7,19.7,1.0,0.1,1.5
204,2016-07-23,20.9,25.3,17.7,0.0,2.9,1.6
205,2016-07-24,22.0,27.3,17.0,0.0,8.7,1.6
206,2016-07-25,23.5,28.5,19.0,0.0,4.7,1.5
207,2016-07-26,22.7,25.1,21.0,0.5,0.0,1.3
208,2016-07-27,24.0,27.9,21.9,1.5,0.2,1.9
209,2016-07-28,26.0,31.5,21.9,0.0,8.7,2.0
210,2016-07-29,26.3,32.2,22.0,0.0,11.9,1.9
211,2016-07-30,26.0,31.9,20.4,0.0,10.3,1.4
212,2016-07-31,25.8,29.4,22.2,0.0,5.6,1.8
213,2016-08-01,26.3,31.0,23.8,0.0,6.9,2.0
214,2016-08-02,25.6,29.2,23.6,1.5,2.9,1.6
215,2016-08-03,26.5,31.8,23.6,0.5,5.7,1.6
216,2016-08-04,27.4,34.0,23.1,0.0,8.9,1.5
217,2016-08-05,28.3,34.1,23.7,0.0,12.8,1.9
218,2016-08-06,28.2,34.3,24.4,0.0,10.9,1.7
219,2016-08-07,27.0,31.5,22.9,0.0,11.9,1.9
220,2016-08-08,27.1,31.9,23.3,0.0,2.9,2.7
221,2016-08-09,29.9,35.8,24.6,0.0,8.8,2.1
222,2016-08-10,27.0,31.5,23.8,0.0,10.2,2.0
223,2016-08-11,25.3,29.3,22.7,0.0,4.4,1.6
224,2016-08-12,24.9,30.5,21.6,0.0,8.2,1.6
225,2016-08-13,24.6,29.9,21.6,0.0,7.6,1.6
226,2016-08-14,24.1,29.2,21.7,0.0,5.4,1.6
227,2016-08-15,26.4,30.6,22.5,0.0,2.9,1.9
228,2016-08-16,26.1,31.4,22.3,16.0,4.3,2.3
229,2016-08-17,27.7,32.9,22.6,32.5,9.1,3.9
230,2016-08-18,26.3,29.6,24.3,15.5,0.5,1.4
231,2016-08-19,26.1,30.1,23.7,0.0,6.0,1.9
232,2016-08-20,25.5,29.3,22.9,57.5,1.7,1.7
233,2016-08-21,27.1,32.7,23.4,0.0,6.4,1.9
234,2016-08-22,25.4,26.4,22.6,83.5,0.0,4.0
235,2016-08-23,26.4,31.2,22.2,0.0,2.9,1.9
236,2016-08-24,25.0,30.0,21.6,0.0,6.9,1.6
237,2016-08-25,26.6,32.4,22.2,0.0,10.3,1.7
238,2016-08-26,27.0,33.3,21.9,0.0,10.3,1.5
239,2016-08-27,22.8,25.5,20.5,0.0,0.1,1.9
240,2016-08-28,21.8,24.3,19.9,1.0,0.0,1.8
241,2016-08-29,25.5,29.3,21.6,7.0,3.5,2.2
242,2016-08-30,24.6,28.6,21.7,21.0,0.6,3.3
243,2016-08-31,25.9,30.5,21.7,0.0,12.2,3.5
244,2016-09-01,25.8,31.2,21.2,0.0,11.2,1.4
245,2016-09-02,25.0,30.1,21.3,0.0,6.1,1.6
246,2016-09-03,25.5,29.8,22.1,0.0,5.3,1.8
247,2016-09-04,26.1,30.4,23.4,0.0,4.4,1.6
248,2016-09-05,26.8,31.9,22.3,8.5,8.3,1.5
249,2016-09-06,27.6,31.8,24.1,0.0,9.6,2.6
250,2016-09-07,24.8,28.0,23.3,8.0,1.5,2.0
251,2016-09-08,26.1,31.0,23.2,2.0,2.7,2.2
252,2016-09-09,25.9,31.0,22.4,0.0,5.9,1.4
253,2016-09-10,25.0,29.9,21.5,0.0,7.1,1.6
254,2016-09-11,21.9,24.4,20.6,6.0,0.1,1.6
255,2016-09-12,23.1,26.8,20.8,0.5,0.2,1.4
